id,name,star,character_key,series_key,series,edition,edition_short,variant,pose,rarity_index,rarity,colour_key,colour,battle_points,binder_value,recycle_value,power_type,power_name,power_text,power_json,secret_type,secret_name,secret_text,source,year,blurb
felix1,Felix the Cat,Felix the Cat,felix,sil,Silent Screen,Classic,Classic,classic,normal,0,Common,slv,Silver,4,25,25,perOwnColor,Rally,+2 for each of your Silver gToons,"{""t"":""perOwnColor"",""color"":""slv"",""n"":2}",,,,packs / trades / free chip,1919,The first cartoon superstar. Keeps on walking.
felix2,Felix the Cat · Feline Follies,Felix the Cat,felix,sil,Silent Screen,Feline Follies (1919),Reel 1919,reel,mirror,1,Uncommon,blu,Blue,6,60,60,front,Spotlight,+4 when played in the front row,"{""t"":""front"",""n"":4}",,,,packs / trades / free chip,1919,The first cartoon superstar. Keeps on walking.
felix3,Felix the Cat · Spotlight,Felix the Cat,felix,sil,Silent Screen,Spotlight,Spotlight,stage,zoom,2,Rare,slv,Silver,9,150,150,minusOppColor,Hex,-3 to each opponent Blue gToon,"{""t"":""minusOppColor"",""color"":""blu"",""n"":3}",,,,packs / trades / free chip,1919,The first cartoon superstar. Keeps on walking.
felix4,Felix the Cat · Holo,Felix the Cat,felix,sil,Silent Screen,Holo,Holo,holo,hero,3,Mythic,slv,Silver,12,500,500,perOwnColor,Rally,+2 for each of your Silver gToons,"{""t"":""perOwnColor"",""color"":""slv"",""n"":2}",chain,Chorus Line,+1 for each other gToon in its row,packs / trades / free chip,1919,The first cartoon superstar. Keeps on walking.
felix5,Felix the Cat · Silver,Felix the Cat,felix,sil,Silent Screen,Full Silver,Silver,silver,hero,3,Mythic,slv,Silver,13,500,500,mirror,Mirror,Copies the opposing gToon's points,"{""t"":""mirror""}",shield,Shield,Cannot lose points to opposing powers,packs / trades / free chip,1919,The first cartoon superstar. Keeps on walking.
felix6,Felix the Cat · Dark Matter,Felix the Cat,felix,sil,Silent Screen,Dark Matter,Dark Matter,dark,hero,3,Mythic,slv,Silver,13,500,500,minusOppColor,Hex,-3 to each opponent Purple gToon,"{""t"":""minusOppColor"",""color"":""prp"",""n"":3}",bomb,Brick,-2 to the opposing gToon and its row neighbours,packs / trades / free chip,1919,The first cartoon superstar. Keeps on walking.
felix7,Felix the Cat · Gold,Felix the Cat,felix,sil,Silent Screen,Full Gold,Gold,gold,hero,4,Legendary,slv,Silver,16,1500,1500,plusAll,Anthem,+2 to each of your other gToons,"{""t"":""plusAll"",""n"":2}",crown,Crown,+4 if nothing on your side has more points,packs / trades / free chip,1919,The first cartoon superstar. Keeps on walking.
felix8,Felix the Cat · Platinum,Felix the Cat,felix,sil,Silent Screen,Full Platinum,Platinum,platinum,hero,4,Legendary,slv,Silver,15,1500,1500,plusAll,Anthem,+2 to each of your other gToons,"{""t"":""plusAll"",""n"":2}",veto,Veto,Cancels the opposing gToon's power,packs / trades / free chip,1919,The first cartoon superstar. Keeps on walking.
gertie1,Gertie the Dinosaur,Gertie the Dinosaur,gertie,sil,Silent Screen,Classic,Classic,classic,normal,0,Common,grn,Green,3,25,25,back,Backstage,+3 when played in the back row,"{""t"":""back"",""n"":3}",,,,packs / trades / free chip,1914,The friendliest brontosaurus in vaudeville. Does tricks.
gertie2,Gertie the Dinosaur · Gertie the Dinosaur,Gertie the Dinosaur,gertie,sil,Silent Screen,Gertie the Dinosaur (1914),Reel 1914,reel,mirror,1,Uncommon,grn,Green,7,60,60,lonely,Loner,+5 if no gToons are next to it,"{""t"":""lonely"",""n"":5}",,,,packs / trades / free chip,1914,The friendliest brontosaurus in vaudeville. Does tricks.
gertie3,Gertie the Dinosaur · Spotlight,Gertie the Dinosaur,gertie,sil,Silent Screen,Spotlight,Spotlight,stage,zoom,2,Rare,grn,Green,8,150,150,perOwnColor,Rally,+2 for each of your Green gToons,"{""t"":""perOwnColor"",""color"":""grn"",""n"":2}",,,,packs / trades / free chip,1914,The friendliest brontosaurus in vaudeville. Does tricks.
gertie4,Gertie the Dinosaur · Holo,Gertie the Dinosaur,gertie,sil,Silent Screen,Holo,Holo,holo,hero,3,Mythic,grn,Green,9,500,500,perOwnColor,Rally,+2 for each of your Green gToons,"{""t"":""perOwnColor"",""color"":""grn"",""n"":2}",chain,Chorus Line,+1 for each other gToon in its row,packs / trades / free chip,1914,The friendliest brontosaurus in vaudeville. Does tricks.
gertie5,Gertie the Dinosaur · Silver,Gertie the Dinosaur,gertie,sil,Silent Screen,Full Silver,Silver,silver,hero,3,Mythic,slv,Silver,10,500,500,mirror,Mirror,Copies the opposing gToon's points,"{""t"":""mirror""}",shield,Shield,Cannot lose points to opposing powers,packs / trades / free chip,1914,The friendliest brontosaurus in vaudeville. Does tricks.
gertie6,Gertie the Dinosaur · Dark Matter,Gertie the Dinosaur,gertie,sil,Silent Screen,Dark Matter,Dark Matter,dark,hero,3,Mythic,grn,Green,10,500,500,minusOppColor,Hex,-3 to each opponent Red gToon,"{""t"":""minusOppColor"",""color"":""red"",""n"":3}",bomb,Brick,-2 to the opposing gToon and its row neighbours,packs / trades / free chip,1914,The friendliest brontosaurus in vaudeville. Does tricks.
gertie7,Gertie the Dinosaur · Gold,Gertie the Dinosaur,gertie,sil,Silent Screen,Full Gold,Gold,gold,hero,4,Legendary,grn,Green,13,1500,1500,plusOwnColor,Boost,+3 to each of your other Green gToons,"{""t"":""plusOwnColor"",""color"":""grn"",""n"":3}",crown,Crown,+4 if nothing on your side has more points,packs / trades / free chip,1914,The friendliest brontosaurus in vaudeville. Does tricks.
